name,price
Сумка Chain 2,345 500 ₽
Сумка Dauphine mini,128 500 ₽
Сумка Cinch medium,268 500 ₽
Сумка Quiltie 67 medium,369 500 ₽
Сумка Le Bambimou,119 500 ₽
Сумка Ghost mini,183 500 ₽
Сумка Cannolo small,149 500 ₽
Клатч Medusa '95,199 500 ₽
Сумка Andiamo small,543 500 ₽
Сумка Sicily medium,236 500 ₽
Сумка Sicily medium,340 500 ₽
Сумка Devotion small,236 500 ₽
Сумка Vsling small,374 000 ₽
Сумка Rockstud small,118 000 ₽
Сумка Olimpia small,384 000 ₽
Сумка Sardine small,641 000 ₽
Сумка Loop mini,315 500 ₽
Сумка Vsling medium,316 500 ₽
Сумка B-Army,124 000 ₽
Сумка Dauphine mini,128 500 ₽
Сумка,242 500 ₽
Сумка 3.5,357 500 ₽
Сумка Quiltie 67 small,317 000 ₽
Сумка,242 500 ₽
Сумка Note,226 000 ₽
Сумка Check Bucket mini,187 000 ₽
Сумка-тоут VLogo Side,329 500 ₽
Сумка-тоут Emblème,157 500 ₽
Сумка Stella Logo,140 500 ₽
Сумка Buzz mini,145 500 ₽
Сумка Devotion small,263 500 ₽
Сумка VLogo Signature mini,129 500 ₽
Сумка Sardine large,599 500 ₽
Сумка Simona,299 500 ₽
Сумка Medusa '95,360 500 ₽
Сумка Sicily medium,236 500 ₽
Клатч Metis,113 500 ₽
Клатч Tube,96 650 ₽
Клатч Venus La Petite,130 000 ₽
Клатч Jeanne Puffy mini,93 900 ₽
Сумка  Glam Slam,242 000 ₽
Сумка Twister small,88 900 ₽
Сумка 1DR,59 400 ₽
Сумка Alita,57 650 ₽
Сумка Bellatrix,170 500 ₽
Сумка Bella Ciao,99 500 ₽
Сумка Oyster,69 950 ₽
Сумка,98 600 ₽
Сумка Hop mini,342 000 ₽
Сумка Sicily medium,236 500 ₽
Сумка The Bambola,187 500 ₽
Сумка Loco,330 500 ₽
Сумка B-Buzz,144 500 ₽
Сумка B-Army,143 500 ₽
Сумка P'tit Voyou small,328 000 ₽
Сумка-тоут VLogo Side,329 500 ₽
Рюкзак,249 500 ₽
Сумка Vsling,316 500 ₽
Сумка Sicily medium,236 500 ₽
Сумка,188 000 ₽
Клатч Hannah,99 500 ₽
Сумка Sicily medium,236 500 ₽
Сумка Alltime,330 000 ₽
Сумка Bon Bon,117 000 ₽
Сумка,79 450 ₽
Сумка Punch small,86 600 ₽
Сумка,89 200 ₽
Сумка,172 000 ₽
Сумка Gemelli medium,457 500 ₽
Сумка Phoenix 1.0,107 500 ₽
